match_id,fase,grupo,data_oficial_fifa,horario_et,data_brasilia,horario_brasilia,time_casa,time_fora,confronto,chaveamento,estadio,fonte_calendario,fonte_horario
1,Fase de grupos,A,2026-06-11,15:00,2026-06-11,16:00,México,África do Sul,México x África do Sul,México x África do Sul,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
2,Fase de grupos,A,2026-06-11,22:00,2026-06-11,23:00,Coreia do Sul,Tchéquia,Coreia do Sul x Tchéquia,Coreia do Sul x Tchéquia,Estadio Guadalajara,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
3,Fase de grupos,B,2026-06-12,15:00,2026-06-12,16:00,Canadá,Bósnia e Herzegovina,Canadá x Bósnia e Herzegovina,Canadá x Bósnia e Herzegovina,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
4,Fase de grupos,D,2026-06-12,21:00,2026-06-12,22:00,Estados Unidos,Paraguai,Estados Unidos x Paraguai,Estados Unidos x Paraguai,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
5,Fase de grupos,C,2026-06-13,21:00,2026-06-13,22:00,Haiti,Escócia,Haiti x Escócia,Haiti x Escócia,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
6,Fase de grupos,D,2026-06-13,00:00,2026-06-14,01:00,Austrália,Turquia,Austrália x Turquia,Austrália x Turquia,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
7,Fase de grupos,C,2026-06-13,18:00,2026-06-13,19:00,Brasil,Marrocos,Brasil x Marrocos,Brasil x Marrocos,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
8,Fase de grupos,B,2026-06-13,15:00,2026-06-13,16:00,Catar,Suíça,Catar x Suíça,Catar x Suíça,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
9,Fase de grupos,E,2026-06-14,19:00,2026-06-14,20:00,Costa do Marfim,Equador,Costa do Marfim x Equador,Costa do Marfim x Equador,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
10,Fase de grupos,E,2026-06-14,13:00,2026-06-14,14:00,Alemanha,Curaçao,Alemanha x Curaçao,Alemanha x Curaçao,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
